input,time
0,0
300,16
600,18
900,20
1200,22
1500,22
1800,24
2100,24
2400,24
2700,24
3000,25
3300,25
3600,27
3900,26
4200,26
4500,26
4800,27
5100,26
5400,27
5700,27
6000,28
